"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.00525028398260474,0.00329680484719574,500,0.788428008556366,0,0,4.57608026509912e-39,0.00019364028412383,0.000963466882240027,0.000769826583564281,1.53645141836023e-05,587.529663085938,799.997619628906,0.237491399049759,176.585342407227,410.739013671875,0.00913350097835064,0.000194158419617452,0.33122193813324,NA,NA,0.00403102766722441,0,0.000560456828679889,0.000277183775324374,0.000537818414159119,0.00372701440937817,0.302463948726654,0,0.00964316073805094,0.00692959409207106,0.00153662404045463,0.0106486137956381,1.64536720603792e-06,0.000144920806633309,4.75922388432082e-05,0.000164536715601571,NA,NA,200,0,0,-9178.8544921875,0.0048164501786232,NA,6.309098586054e-35,0,1.40924444854944e-16,0,0.999922752380371,0.000230531499255449,0.00788427982479334,0.0109273372218013,0.0313804261386395,0,0,0.000209523117518984,47.1673583984375
"2",2,0.00599967176094651,0.0146711207926273,495,0.86756843328476,0,0,4.57608026509912e-39,0.00448599923402071,0.00638087326660752,0.00189487740863115,0.000220050598727539,587.529663085938,799.997619628906,1.70593178272247,175.329132080078,410.522888183594,0.0119548821821809,0.00163870735559613,0.291736572980881,NA,NA,0.00293592805974185,0,0.00249409070238471,0.00123349623754621,0.00159988703671843,0.00369148049503565,0.202867865562439,0,0.042913094162941,0.0308373961597681,0.00457110581919551,0.0105470903217793,2.28155859076651e-05,0.00116552761755884,0.000450364168500528,0.00228155869990587,NA,NA,200,0,0,-9179.796875,0.0361732877790928,NA,0,0,0,0,2.00033664703369,0.000288908951915801,0.00867568422108889,0.0209447555243969,0.00955185107886791,0.000500000023748726,9.13350086193532e-05,0.00157326064072549,2.6649317741394
"3",3,0.00682223634794354,0.0213455818593502,490.049987792969,0.951510548591614,0,0,4.57608026509912e-39,0.00704184593632817,0.00914727803319693,0.00210543442517519,0.000610615476034582,587.529663085938,799.997619628906,2.46405339241028,174.64289855957,410.455993652344,0.0164829939603806,0.00354185537435114,0.418780833482742,NA,NA,0.0045453398488462,0,0.00362874893471599,0.00179466139525175,0.00285967695526779,0.00365456566214561,0.292866259813309,0,0.0624360032379627,0.0448664724826813,0.00817050598561764,0.0104416189715266,6.97763680364005e-05,0.00240973406471312,0.00106234499253333,0.00697763683274388,NA,NA,200,0,0.185010015964508,-9179.7958984375,0.0550483725965023,NA,0,0,0,0,3.00075054168701,0.000359270692570135,0.00951510574668646,0.0161102320998907,0.0115711977705359,0.000494999985676259,0.000119548822112847,0.00239417981356382,2.34072065353394
"4",4,0.00794753525406122,0.0302988588809967,485.149475097656,1.06054425239563,0,0,4.57608026509912e-39,0.00960503146052361,0.012597318738699,0.00299228494986892,0.00110245728865266,587.529663085938,799.997619628906,3.42440724372864,173.73811340332,410.397216796875,0.0224897973239422,0.00603761943057179,0.591752231121063,NA,NA,0.0064607230015099,0,0.00515080569311976,0.00254742125980556,0.00471282564103603,0.00361801986582577,0.415639847517014,0,0.0886244997382164,0.0636854916810989,0.0134652173146605,0.0103372018784285,0.000138604620588012,0.0039730085991323,0.00192600628361106,0.0138604622334242,NA,NA,200,0,0.256102055311203,-9179.794921875,0.0789425000548363,NA,0,0,0,0,4.00116205215454,0.000464100245153531,0.0106054423376918,0.0155026195570827,0.0119427498430014,0.000490049947984517,0.000164829907589592,0.00343339471146464,2.34145998954773
"5",5,0.00935025978833437,0.042039331048727,480.298004150391,1.18987262248993,0,0,4.57608026509912e-39,0.0125840241089463,0.0167117826640606,0.00412776367738843,0.00173496955540031,587.529663085938,799.997619628906,4.58545589447021,172.549453735352,410.419128417969,0.0300340466201305,0.00934254191815853,0.819689989089966,NA,NA,0.0085321394726634,0,0.00714668678119779,0.00353451911360025,0.00723886117339134,0.00358183984644711,0.577445268630981,0,0.122965529561043,0.0883628726005554,0.0206824615597725,0.010233829729259,0.000231168960453942,0.00598540157079697,0.0031259716488421,0.0231168959289789,NA,NA,200,0,0.344561487436295,-9179.7939453125,0.110706776380539,NA,0,0,0,0,4.99948740005493,0.000608895672485232,0.0118987262248993,0.0151127735152841,0.0118288658559322,0.000485149474116042,0.000224897972657345,0.00481489207595587,2.38668060302734
"6",6,0.0109389657154679,0.049202237278223,475.495025634766,1.32998371124268,0,0,4.57608026509912e-39,0.0156395677477121,0.0204529743641615,0.00481341406702995,0.00251668528653681,587.529663085938,799.997619628906,5.63519430160522,171.456024169922,410.459625244141,0.0392720438539982,0.0132274702191353,0.985714375972748,NA,NA,0.0124821839854121,0.000357624230673537,0.00836438033729792,0.00413675094023347,0.0103850839659572,0.00354602141305804,0.680694043636322,0.0178812090307474,0.143917247653008,0.103418692946434,0.0296716671437025,0.0101314913481474,0.000348661007592455,0.0082306694239378,0.00464813970029354,0.034866102039814,NA,NA,200,0,0.31450417637825,-9179.794921875,0.14028300344944,NA,0,0,0,0,5.99781274795532,0.000791840779129416,0.0132998377084732,0.011721576564014,0.0131886210292578,0.000480298011098057,0.000300340470857918,0.0061012408696115,2.51106953620911
"7",7,0.0128958849236369,0.0580043196678162,470.740051269531,1.49419271945953,0,0,4.57608026509912e-39,0.0182512383908033,0.024102320894599,0.00585109647363424,0.00333969318307936,587.529663085938,799.997619628906,6.64126873016357,170.544158935547,410.363555908203,0.0499474592506886,0.017463780939579,1.17331647872925,NA,NA,0.0162185896188021,0.000838598294649273,0.00986073538661003,0.004876799415797,0.0146421771496534,0.00351056107319891,0.787938356399536,0.0419298931956291,0.169663444161415,0.1219197884202,0.0418347902595997,0.0100301764905453,0.000481611205032095,0.0105390688404441,0.00644310051575303,0.048161119222641,NA,NA,200,0,0.362616837024689,-9179.79296875,0.165158182382584,NA,0,0,0,0,6.99613809585571,0.00104221969377249,0.0149419279769063,0.0109513616189361,0.0139233823865652,0.000475495035061613,0.00039272045250982,0.00718310941010714,2.73666143417358
"8",8,0.0151332719251513,0.0680690705776215,466.032653808594,1.6735475063324,0,0,4.57608026509912e-39,0.0214145537465811,0.0283905658870935,0.00697599817067385,0.0042138728313148,587.529663085938,799.997619628906,7.82415819168091,169.485153198242,410.239624023438,0.0624048672616482,0.0222072973847389,1.40167725086212,NA,NA,0.0201838705688715,0.00144269363954663,0.0115717416629195,0.00572300795465708,0.0194082148373127,0.00407534185796976,0.920268714427948,0.0721346437931061,0.199103087186813,0.143075034022331,0.0554520413279533,0.0116438427940011,0.000626825669314712,0.0130149973556399,0.00856547337025404,0.0626825615763664,NA,NA,200,0,0.434557139873505,-9179.7939453125,0.194462850689888,NA,0,0,0,0,7.9944634437561,0.00136190163902938,0.0167354755103588,0.0102582927793264,0.0141794281080365,0.000470740138553083,0.000499474699608982,0.00845764949917793,2.91413354873657
"9",9,0.0176215283572674,0.0792628899216652,461.372314453125,1.86475515365601,0,0,4.57608026509912e-39,0.0250031091272831,0.0332135371863842,0.0082104504108429,0.00516332965344191,587.529663085938,799.997619628906,9.15491008758545,168.309982299805,410.086730957031,0.0768915042281151,0.0275603644549847,1.66675055027008,NA,NA,0.0245619509369135,0.00217963824979961,0.0134746907278895,0.00666414480656385,0.0248033832758665,0.00520769273862243,1.07357394695282,0.108981870114803,0.231845393776894,0.166603326797485,0.0708668157458305,0.0148791186511517,0.000784991483669728,0.015714168548584,0.0110612045973539,0.0784991532564163,NA,NA,200,0,0.506538331508636,-9179.7939453125,0.227448150515556,NA,0,0,0,0,8.9969425201416,0.00175803818274289,0.0186475515365601,0.00964185502380133,0.0142781399190426,0.000466032768599689,0.000624048872850835,0.00989225041121244,3.07527780532837
"10",10,0.0203508865088224,0.0915417075157166,456.758575439453,2.06644749641418,0,0,4.57608026509912e-39,0.0289718545973301,0.038536611944437,0.00956473127007484,0.00620305631309748,587.529663085938,799.997619628906,10.6238689422607,167.033966064453,409.893432617188,0.093618355691433,0.0336019322276115,1.97237658500671,NA,NA,0.0294364206492901,0.00306329480372369,0.0155620891600847,0.00769650377333164,0.0312908887863159,0.00656916387379169,1.25086653232574,0.153164803981781,0.267761379480362,0.192412346601486,0.0894025340676308,0.0187690388411283,0.00095779134426266,0.0186702702194452,0.0139738731086254,0.0957791358232498,NA,NA,200,0,0.58615517616272,-9179.79296875,0.263862431049347,NA,0,0,0,0,9.99944496154785,0.00224023079499602,0.0206644739955664,0.00909302569925785,0.0143107613548636,0.000461372488643974,0.00076891528442502,0.0114759868010879,3.2313551902771
