"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.00525028398260474,0.00329680484719574,500,0.788428008556366,0,0,0,0.00019364028412383,0.000963466882240027,0.000769826583564281,1.53645141836023e-05,587.529663085938,799.997619628906,0.237491399049759,176.585342407227,410.739013671875,0.00913350097835064,0.000194158419617452,0.33122193813324,NA,NA,0.00403102766722441,0,0.000560456828679889,0.000277183775324374,0.000537818414159119,0.00372701440937817,0.302463948726654,0,0.00964316073805094,0.00692959409207106,0.00153662404045463,0.0106486137956381,1.64536720603792e-06,0.000144920806633309,4.75922388432082e-05,0.000164536715601571,NA,NA,200,0,0,-9178.8544921875,0.0048164501786232,NA,0,0,1.40924444854944e-16,0,0.999922752380371,0.000230531499255449,0.00788427982479334,0.0109273372218013,0.0313804261386395,0,0,0.000209523117518984,47.1673583984375
"2",2,0.00599967082962394,0.0146711179986596,494.999908447266,0.86756843328476,0,0,0,0.00448599783703685,0.00638087233528495,0.00189487694296986,0.000220050744246691,587.529663085938,799.997619628906,1.70593154430389,175.329132080078,410.522888183594,0.0119548812508583,0.00163870863616467,0.291736513376236,NA,NA,0.00293592782691121,0,0.00249409023672342,0.00123349600471556,0.00159988680388778,0.00369148002937436,0.202867835760117,0,0.0429130904376507,0.0308373887091875,0.00457110535353422,0.0105470884591341,2.28156059165485e-05,0.0011655279668048,0.00045036495430395,0.00228156079538167,NA,NA,200,0,0,-9179.796875,0.0361732840538025,NA,0,0,0,0,2.00033664703369,0.000288908951915801,0.00867568422108889,0.0209447517991066,0.00955184921622276,0.000500008463859558,9.13365511223674e-05,0.00157326029147953,2.66493248939514
"3",3,0.00682223401963711,0.0213455744087696,490.049835205078,0.951510548591614,0,0,0,0.00704184314236045,0.00914727617055178,0.00210543372668326,0.000610615883488208,587.529663085938,799.997619628906,2.46405243873596,174.64289855957,410.455993652344,0.0164829865098,0.00354185816831887,0.418780714273453,NA,NA,0.00454533845186234,0,0.00362874800339341,0.00179466081317514,0.00285967602394521,0.0036545644979924,0.292866170406342,0,0.0624359808862209,0.0448664613068104,0.00817050319164991,0.0104416152462363,6.97764335200191e-05,0.00240973429754376,0.00106234732083976,0.00697764335200191,NA,NA,200,0,0.185009986162186,-9179.7958984375,0.0550483539700508,NA,0,0,0,0,3.00075054168701,0.000359270692570135,0.00951510574668646,0.0161102265119553,0.0115711949765682,0.000495010579470545,0.00011955137597397,0.00239417911507189,2.34072041511536
"4",4,0.00794753059744835,0.0302988421171904,485.149200439453,1.06054425239563,0,0,0,0.00960502773523331,0.0125973131507635,0.00299228401854634,0.00110245787072927,587.529663085938,799.997619628906,3.42440581321716,173.73811340332,410.397216796875,0.0224897842854261,0.00603762455284595,0.591751933097839,NA,NA,0.00646071927621961,0,0.00515080289915204,0.0025474198628217,0.0047128233127296,0.00361801800318062,0.415639609098434,0,0.0886244475841522,0.063685454428196,0.01346520986408,0.010337196290493,0.000138604751555249,0.00397300906479359,0.00192601082380861,0.0138604752719402,NA,NA,200,0,0.256101906299591,-9179.794921875,0.0789424628019333,NA,0,0,0,0,4.00116205215454,0.000464100245153531,0.0106054423376918,0.0155026111751795,0.0119427433237433,0.000490063161123544,0.000164834345923737,0.00343339215032756,2.34145951271057
"5",5,0.0093502514064312,0.0420392937958241,480.297546386719,1.18987262248993,0,0,0,0.0125840110704303,0.0167117659002542,0.00412775995209813,0.00173496978823096,587.529663085938,799.997619628906,4.58545255661011,172.549453735352,410.419128417969,0.0300340186804533,0.0093425503000617,0.819689214229584,NA,NA,0.00853213202208281,0,0.00714668026193976,0.00353451585397124,0.00723885418847203,0.00358183635398746,0.577444672584534,0,0.122965417802334,0.0883627906441689,0.0206824410706758,0.0102338204160333,0.000231169004109688,0.00598540063947439,0.00312598026357591,0.0231168996542692,NA,NA,200,0,0.344561159610748,-9179.7939453125,0.110706657171249,NA,0,0,0,0,4.99948740005493,0.000608895672485232,0.0118987262248993,0.0151127595454454,0.0118288546800613,0.000485166470753029,0.000224905845243484,0.00481488928198814,2.38668084144592
"6",6,0.0109389508143067,0.0492021664977074,475.494354248047,1.32998371124268,0,0,0,0.0156395472586155,0.0204529408365488,0.00481340708211064,0.00251668598502874,587.529663085938,799.997619628906,5.63518762588501,171.456039428711,410.459625244141,0.0392719879746437,0.0132274813950062,0.985713005065918,NA,NA,0.0124821662902832,0.000357623735908419,0.00836436823010445,0.00413674488663673,0.010385069064796,0.00354601629078388,0.68069314956665,0.0178811848163605,0.143917039036751,0.103418551385403,0.0296716261655092,0.0101314783096313,0.000348661124007776,0.00823066756129265,0.00464815320447087,0.0348661132156849,NA,NA,200,0,0.314503759145737,-9179.794921875,0.140282854437828,NA,0,0,0,0,5.99781274795532,0.000791840779129416,0.0132998377084732,0.0117215607315302,0.0131886024028063,0.000480320333736017,0.000300354440696537,0.00610122876241803,2.51106929779053
"7",7,0.0128958579152822,0.0580042004585266,470.739074707031,1.49419283866882,0,0,0,0.0182511862367392,0.0241022761911154,0.00585108436644077,0.00333969411440194,587.529663085938,799.997619628906,6.64125490188599,170.544158935547,410.363555908203,0.0499473549425602,0.017463805153966,1.17331397533417,NA,NA,0.0162185560911894,0.000838596548419446,0.00986071489751339,0.00487678917124867,0.0146421464160085,0.00351055385544896,0.787936747074127,0.041929803788662,0.169663086533546,0.12191953510046,0.0418347045779228,0.0100301560014486,0.000481611321447417,0.0105390688404441,0.00644312473013997,0.0481611303985119,NA,NA,200,0,0.362616121768951,-9179.79296875,0.165157780051231,NA,0,0,0,0,6.99613809585571,0.00104221969377249,0.0149419279769063,0.0109513392671943,0.0139233535155654,0.0004755241679959,0.000392744521377608,0.00718309683725238,2.7366635799408
"8",8,0.0151332272216678,0.0680688694119453,466.031280517578,1.6735475063324,0,0,0,0.021414490416646,0.0283904820680618,0.00697597628459334,0.00421387422829866,587.529663085938,799.997619628906,7.82413673400879,169.48518371582,410.239624023438,0.0624046884477139,0.022207323461771,1.40167331695557,NA,NA,0.0201838109642267,0.00144268933217973,0.0115717072039843,0.00572299072518945,0.0194081570953131,0.00407532975077629,0.920265972614288,0.0721344351768494,0.199102491140366,0.143074601888657,0.0554518774151802,0.0116438083350658,0.000626825843937695,0.0130149871110916,0.00856551062315702,0.0626825839281082,NA,NA,200,0,0.434555858373642,-9179.7939453125,0.194462358951569,NA,0,0,0,0,7.9944634437561,0.00136190163902938,0.0167354755103588,0.0102582620456815,0.0141793861985207,0.000470778584713116,0.000499515503179282,0.00845762901008129,2.91413378715515
"9",9,0.0176214575767517,0.0792625695466995,461.370452880859,1.86475515365601,0,0,0,0.0250030048191547,0.0332134254276752,0.00821041874587536,0.00516333198174834,587.529663085938,799.997619628906,9.15487098693848,168.310043334961,410.086730957031,0.07689119130373,0.027560418471694,1.66674375534058,NA,NA,0.0245618522167206,0.00217962963506579,0.0134746367111802,0.00666411779820919,0.0248032826930285,0.0052076717838645,1.0735696554184,0.108981430530548,0.231844440102577,0.166602656245232,0.0708665251731873,0.0148790590465069,0.000784991425462067,0.0157141610980034,0.0110612660646439,0.0784991458058357,NA,NA,200,0,0.506536364555359,-9179.7939453125,0.227447286248207,NA,0,0,0,0,8.9969425201416,0.00175803818274289,0.0186475515365601,0.00964181683957577,0.014278082177043,0.00046608317643404,0.000624116335529834,0.00989221502095461,3.07527804374695
"10",10,0.0203507747501135,0.091541200876236,456.756103515625,2.06644749641418,0,0,0,0.0289716981351376,0.0385363884270191,0.00956468470394611,0.00620306096971035,587.529663085938,799.997619628906,10.6238117218018,167.034027099609,409.893432617188,0.0936178490519524,0.033602025359869,1.97236585617065,NA,NA,0.0294362585991621,0.00306327803991735,0.0155620044097304,0.0076964613981545,0.0312907174229622,0.00656912801787257,1.25085973739624,0.153163969516754,0.267759889364243,0.192411288619041,0.089402049779892,0.018768934533,0.000957791809923947,0.0186702515929937,0.0139739820733666,0.0957791805267334,NA,NA,200,0,0.586152017116547,-9179.79296875,0.263861030340195,NA,0,0,0,0,9.99944496154785,0.00224023079499602,0.0206644739955664,0.0090929763391614,0.0143106831237674,0.000461437826743349,0.000769024132750928,0.0114759327843785,3.2313551902771
